metric_id,value,unit,denominator_n,rounded_count_lower,rounded_count_upper,source_id,source_locator,identification_status,model_use,note
survey_target_businesses,50000,businesses,,,,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.3 / printed p.2,OBSERVED_SURVEY_FRAME,FRAME_CONTEXT_ONLY,TSR database frame selected businesses with 2023 sales <=10m JPY or specified post-2023 startup/capital conditions.
survey_responses,15425,responses,,,,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.4 / printed p.3,OBSERVED_SURVEY_RESPONSE_COUNT,FRAME_CONTEXT_ONLY,Overall returned questionnaires; question-specific valid N differs because nonresponses are excluded.
survey_response_rate,0.309,ratio,50000,15425,15474,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.4 / printed p.3,OBSERVED_SURVEY_RESPONSE_RATE,RESPONSE_CONTEXT_NOT_POPULATION_WEIGHT,Published 30.9% response rate; nonresponse prevents treating sample shares as exact population shares.
invoice_start_became_taxable_share,0.118,ratio,15140,1779,1794,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.6 / printed p.5,SURVEY_RESPONSE_SHARE,OBSERVED_TAX_STATUS_TRANSITION_SELF_REPORT,Share saying they became taxable businesses due to invoice-system introduction.
currently_exempt_share,0.729,ratio,15140,11030,11044,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.6 / printed p.5,SURVEY_RESPONSE_SHARE,TARGET_FRAME_STATUS_CONTEXT,Share reporting exempt-business status in July 2025.
invoice_registered_share,0.228,ratio,15372,3498,3512,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.7 / printed p.6,SURVEY_RESPONSE_SHARE,OBSERVED_REGISTRATION_STATUS,Share reporting invoice registration.
customer_required_registration_for_continuation_share,0.143,ratio,15321,2184,2198,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.8 / printed p.7,SURVEY_RESPONSE_SHARE,OBSERVED_CUSTOMER_REGISTRATION_PRESSURE,Share reporting that a customer required invoice registration as a condition for continuing transactions.
future_registration_consider_share,0.095,ratio,15333,1449,1464,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.9 / printed p.8,SURVEY_RESPONSE_SHARE,STATED_REGISTRATION_INTENTION,Share considering future invoice registration; intention is not realized transition.
future_registration_no_plan_share,0.683,ratio,15333,10465,10480,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.9 / printed p.8,SURVEY_RESPONSE_SHARE,STATED_REGISTRATION_INTENTION,Share saying they have no plan to register.
pre_invoice_price_included_tax_share,0.724,ratio,14595,10560,10574,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,PRE_INVOICE_TRANSACTION_CONTEXT,"For the largest customer relationship, share saying transaction price included consumption-tax amount before invoice introduction."
post_invoice_price_reduced_or_transaction_stopped_share,0.038,ratio,14732,553,567,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.11 / printed p.10,SURVEY_RESPONSE_SHARE,OBSERVED_REALIZED_PRICE_OR_TRANSACTION_ADVERSE_OUTCOME,"For the largest customer relationship, share reporting price reduction or transaction stop after invoice introduction. Combined outcome cannot separate reduction from stop and does not quantify yen value or causality."
post_invoice_price_unchanged_share,0.798,ratio,14732,11749,11763,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.11 / printed p.10,SURVEY_RESPONSE_SHARE,OBSERVED_REALIZED_TRANSACTION_PRICE_STATUS,Largest-customer relationship unchanged price after invoice introduction.
post_invoice_price_increased_share,0.119,ratio,14732,1746,1760,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.11 / printed p.10,SURVEY_RESPONSE_SHARE,OBSERVED_REALIZED_TRANSACTION_PRICE_STATUS,Largest-customer relationship increased price after invoice introduction.
invoice_price_negotiation_no_opportunity_share,0.128,ratio,14690,1873,1887,SMEA-FY2025-INVOICE-TRANSACTION-SURVEY-ARCHIVED,PDF p.12 / printed p.11,SURVEY_RESPONSE_SHARE,OBSERVED_NEGOTIATION_ACCESS_FRICTION,Share reporting no opportunity for price negotiation associated with invoice-system introduction.
