product_id,claim_id,topic,empirical_status,identification_status,causal_status,policy_status,component_id,evidence_scope,allowed_claim,forbidden_claim,source,evidence_ids,supersedes,superseded_by,active
paper1,P1-C01,F71561 population,OBSERVED_PUBLIC,READY,NOT_CAUSAL,NOT_POLICY_USABLE,,official metadata,F71561 is a household/equivalized-income aggregate population and is not filer microdata,F71561 directly observes filer-level MTRs,data/claim_evidence.csv,data/derived/stage1_official_inputs.csv,,,true
paper1,P1-C02,NTA Table 2-1 Final-return processing-row numerator,OBSERVED_PUBLIC,READY,NOT_CAUSAL,NOT_POLICY_USABLE,,official aggregate,FY2024 Table 2-1 Final-return processing row is 23090075 and is used as the stage-1 benchmark numerator,Interpret 23090075 as all submitted-return persons or use broader 23362184 filed-or-processed total as filing participation without qualification,data/input_provenance.csv,data/input_provenance.csv,,,true
paper1,P1-C03,Pseudo-filer statutory MTR,SENSITIVITY_ONLY_REPRODUCED,SENSITIVITY_ONLY,NOT_CAUSAL,NOT_POLICY_USABLE,income_tax_pseudofiler,reproduced official-source-derived sensitivity model with explicit F71561 suppression-row drop sensitivity,"Pseudo-filer statutory-MTR scenarios are reproducible sensitivity diagnostics conditional on explicit calibration, allocation, and F71561 suppression-row drop assumptions; omitted count share is bounded separately while monetary-X impact remains unidentified","Pseudo-filer MTR distribution is the true, point-identified, or statistically sharp filer MTR distribution; suppressed F71561 X cells are exact zero; monetary-X impact is numerically identified",research/income_tax_pseudofiler/README.adoc,data/recovery/recovery_gaps.csv;research/income_tax_pseudofiler/README.adoc;research/income_tax_pseudofiler/pseudofiler_mtr_summary.csv;data/derived/estat_71561_leaf_suppressed_cells.csv,,,true
paper1,P1-C04,Static income-tax liability surtax,READY_STATIC_ONLY,READY,NOT_CAUSAL,NOT_POLICY_USABLE,,observed-liability accounting,Static first-order liability incidence may be evaluated from observed tax-liability moments,Behavioral net revenue is identified by the static liability calculation,data/claim_evidence.csv,data/derived/income_tax_household_type_leaf_deciles_2024.csv,,,true
paper1,P1-C05,NTA stage-2 positive-self-assessed-balance rates,EXTERNAL_STAGE2_DIAGNOSTIC_REPRODUCED,READY,NOT_CAUSAL,NOT_POLICY_USABLE,,exact NTA administrative primary-income-type counts,FY2024 NTA primary-type positive self-assessed-balance rates (申告納税額>0 after tax credits and source withholding) are reproducible external administrative diagnostics,"These NTA rates equal positive annual income-tax liability, identify F71561 household-to-filer selection, or identify decile-specific filing probabilities",research/income_tax_partial_identification/README.adoc,data/derived/nta_primary_type_stage2_2024.csv;data/recovery/recovery_gaps.csv,,,true
paper1,P1-C06,Restricted-LP decile MTR endpoints,DOCUMENTED_PRIOR_RUN_NOT_REPRODUCED,RECOVERY_ONLY,NOT_CAUSAL,NOT_POLICY_USABLE,,recovered handoff only,Restricted conditional endpoints may be retained as recovery targets pending source restoration,Call recovered restricted endpoints a reproduced or fully sharp identified set,data/recovery/recovery_gaps.csv,data/recovery/recovery_gaps.csv,,,false
paper1,P1-C07,NTA Table 3-1 positive self-assessed-balance composition point check,CROSS_PUBLICATION_POINT_CHECK_REPRODUCED,READY,NOT_CAUSAL,NOT_POLICY_USABLE,,NTA exact annual counts versus rounded Table 3-1 category counts,The five-category rounded-table positive-self-assessed-balance composition check is reproducible and has max absolute difference 0.08444 percentage point after explicit five-category renormalization,"The 0.08444pp point check validates positive annual tax liability, is independent-sample holdout validation, statistical confidence coverage, causal validation, or filer-MTR validation",research/income_tax_partial_identification/README.adoc,data/recovery/v6_recovered_values.csv;research/income_tax_partial_identification/nta_table31_composition_validation.csv,,,true
paper1,P1-C08,Stage-1 mismatch frontier,ROBUSTNESS_FRONTIER_REPRODUCED,PARTIALLY_IDENTIFIED,DESCRIPTIVE_ONLY,NOT_POLICY_USABLE,stage1_filing_bound,reproduced Git analysis,"For any externally supplied threshold A the break-even untracked mismatch budget is C_U*(A)=max(0,B_R-P*A)",The actual filing rate or actual C_U is identified,research/stage1_filing_bound/proposition_stage1_frontier.adoc,research/stage1_filing_bound/proposition_stage1_frontier.adoc,,,true
paper1,P1-C09,Recovered score_power 2 threshold,DOCUMENTED_PRIOR_RUN_NOT_REPRODUCED,RECOVERY_ONLY,NOT_CAUSAL,NOT_POLICY_USABLE,,recovered handoff only,The recovered V6 record may be used as a recovery-only numerical application after explicit labeling,"Present the 2.20% threshold or its 8,578,123.822 break-even budget as a reproduced main result",data/recovery/v6_recovered_values.csv,data/recovery/v6_recovered_values.csv,,,false
paper1,P1-C10,Untracked frame mismatch,NOT_READY,NOT_IDENTIFIED,NOT_CAUSAL,NOT_POLICY_USABLE,stage1_filing_bound,public-source and frame audit,C_U remains an explicit unresolved mismatch budget including non-resident and other frame/timing differences,Set C_U to zero or equate it with non-resident filers alone,research/stage1_filing_bound/nonresident_source_audit.adoc,research/stage1_filing_bound/nonresident_source_audit.adoc,,,true
paper1,P1-C11,Structural marginal response,NOT_READY,NOT_IDENTIFIED,NOT_CAUSAL,NOT_POLICY_USABLE,,not identified,Structural marginal response remains outside identified conclusions,Income-tax behavioral response is identified,STATUS.adoc,STATUS.adoc,,,true
paper1,P1-C12,Dynamic net revenue,NOT_READY,NOT_IDENTIFIED,NOT_CAUSAL,NOT_POLICY_USABLE,,not identified,Dynamic net revenue remains outside identified conclusions,Static liability incidence identifies dynamic net revenue,STATUS.adoc,STATUS.adoc,,,true
paper1,P1-C13,Replacement transport-relaxation frontier,MODEL_CONTINGENT_TRANSPORT_RELAXATION_REPRODUCED,SENSITIVITY_ONLY,NOT_CAUSAL,NOT_POLICY_USABLE,income_tax_partial_identification,pre-specified transport_lp_v1 linking 13 pseudo-filer modeled-annual-income-tax-positive scenarios and five NTA positive-self-assessed-balance primary-income-type categories under two fixed decile-weight schemes,Under transport_lp_v1 the minimum common cross-concept rate discrepancy and conditional MTR envelopes are reproducible model-contingent sensitivity results,"epsilon is measurement error between two observations of the same positive-tax event; pseudo modeled annual tax >0 equals NTA 申告納税額>0; the replacement envelopes are the historical V6 restricted LP, a statistically sharp identified set, confidence interval, causal bound, or point-identified filer MTR distribution",research/income_tax_partial_identification/replacement_transport_lp_spec.adoc,research/income_tax_partial_identification/replacement_transport_lp_endpoints.csv;research/income_tax_partial_identification/replacement_transport_lp_minimum_relaxation.csv,,,true
paper1,P1-C14,Rank-bridge v2 transport-relaxation frontier,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION_REPRODUCED,SENSITIVITY_ONLY,NOT_CAUSAL,NOT_POLICY_USABLE,income_tax_partial_identification,pre-specified rank_bridge_lp_v2 using 13 pseudo-filer modeled-annual-income-tax-positive scenarios and NTA Table 2-2(1) 25 ordered income classes with free within-class positive-self-assessed-balance allocation at rank boundaries,Under the pre-specified same-rank-decile bridge the minimum common cross-concept rate discrepancy is 14.9016 percentage points and the conditional v2 MTR envelopes are reproducible model-contingent sensitivity results,"epsilon is measurement error between the same tax event; pseudo modeled annual tax >0 equals NTA 申告納税額>0; the same-rank bridge is observed linkage; F71561 and NTA income concepts are identical; the v2 envelope is a statistically sharp identified set, confidence interval, causal bound, point-identified filer MTR, or historical V6 restricted LP",research/income_tax_partial_identification/rank_bridge_lp_v2_spec.adoc,research/income_tax_partial_identification/rank_bridge_lp_v2_endpoints.csv;research/income_tax_partial_identification/rank_bridge_lp_v2_minimum_relaxation.csv,,,true
