source_family_id,source_id,population_side,person_population,salary_receipt_class_dimension,salary_receipts_gt20m_dimension,year_end_adjustment_dimension,submitted_return_dimension,processing_status_dimension,positive_refund_dimension,salary_source_withholding_person_dimension,employer_sector_dimension,geographic_tax_office_dimension,cross_family_person_link,direct_bridge_status,note
private_salary_table16,NTA-MINKAN-2024-T16,PAYROLL_PRIVATE_SURVEY,SURVEY_ESTIMATED_SALARY_EARNERS,YES,NO_EXPLICIT_GT20_PANEL,YES,NO,NO,PAYROLL_TAXPAYER_NONTAXPAYER_NOT_RETURN_STATUS,NO_RETURN_PERSON_LINK,PRIVATE_SECTOR_ONLY,NO,NO,NO_DIRECT_PERSON_BRIDGE,Salary-class and year-end-adjustment payroll evidence; no return-side person linkage.
private_salary_table19,NTA-MINKAN-2024-T19,PAYROLL_PRIVATE_SURVEY,SURVEY_ESTIMATED_SALARY_EARNERS,YES,YES_EXPLICIT_GT20_PANEL,YES_NO_YEAR_END_ADJUSTMENT,NO,NO,NO_RETURN_STATUS,NO_RETURN_PERSON_LINK,PRIVATE_SECTOR_ONLY,NO,NO,NO_DIRECT_PERSON_BRIDGE,Direct payroll-side >20m candidate count and no-year-end-adjustment reasons; no return person match.
salary_filing_legal_rule,NTA-2024-SALARY-FILING-REQUIREMENT,LEGAL_METADATA,NO_STATISTICAL_PERSON_COUNT,LEGAL_CONCEPT,YES_LEGAL_THRESHOLD,YES_LEGAL_MULTIPLE_PAYROLL_CONTEXT,LEGAL_FILING_REQUIREMENT_ONLY,NO,NO,NO,NO,NO,NO,NO_DIRECT_PERSON_BRIDGE,"Establishes filing obligation/caveats, not observed compliance or a person-level statistical bridge."
positive_balance_salary_receipt_table7,NTA-2024-SHINKOKU-T7-XLSX,RETURN_SIDE_POSITIVE_BALANCE_SAMPLE,SURVEY_ESTIMATED_POSITIVE_BALANCE_PERSONS,YES,YES,NO,NO,NO_PROCESSING_CATEGORY,POSITIVE_BALANCE_TARGET_ONLY_NO_REFUND,YES_WITHIN_POSITIVE_BALANCE_TARGET,NO_PRIVATE_PUBLIC_EMPLOYER_SPLIT,NO,NO,NO_DIRECT_PERSON_BRIDGE,"Same salary-receipt threshold on return side, but only within the positive-self-assessed-balance sample target."
annual_processing_table21,NTA-2024-PROCESSING-STATUS,RETURN_SIDE_ADMINISTRATIVE,EXACT_FILED_OR_PROCESSED_PERSONS,NO,NO,NO,FINAL_RETURN_PROCESSING_ROW_NOT_SUBMISSION_COUNT,YES_EXACT,YES_EXACT_POSITIVE_REFUND_RESIDUAL,NO,NO_PRIVATE_PUBLIC_EMPLOYER_SPLIT,NO_NATIONAL_TABLE,NO,NO_DIRECT_PERSON_BRIDGE,"Exact processing categories by income-earner type, but no salary-receipt or year-end-adjustment dimension."
submitted_return_press_table31,NTA-2024-RETURN-PRESS-T31,RETURN_SIDE_SUBMISSION_PUBLICATION,ROUNDED_THOUSAND_PERSONS,NO,NO,NO,YES_ROUNDED_SUBMITTED_RETURN_COUNT,NO,YES_ROUNDED_POSITIVE_REFUND_ZERO,NO,NO,NO,NO,NO_DIRECT_PERSON_BRIDGE,Submitted-return counts by main income category; no salary-receipt threshold or payroll adjustment status.
annual_income_type_table23,NTA-2024-ANNUAL-T23-INCOME-TYPE,RETURN_SIDE_ADMINISTRATIVE,EXACT_FILED_OR_PROCESSED_PERSONS,NO,NO,NO,NO_PURE_SUBMISSION_COUNT,FILED_OR_PROCESSED_AGGREGATE_ONLY,YES_EXACT_POSITIVE_REFUND,NO,NO,NO,NO,NO_DIRECT_PERSON_BRIDGE,"Employment income as main/secondary income is observed, but not salary receipts, year-end adjustment, or processing categories."
withholding_public_other_table7,NTA-FY2024-WITHHOLDING-STATUS,WITHHOLDING_SYSTEM,NO_CURRENT_PERSON_COUNT,NO,NO,NO,NO,NO,NO_RETURN_STATUS,WITHHOLDING_AMOUNT_ONLY,YES_PUBLIC_OFFICES_VS_OTHERS_AMOUNTS,NO,NO,NO_DIRECT_PERSON_BRIDGE,"Employer-sector payment and withholding amounts are observed, but the current person denominator and return link are absent."
nagoya_regional_table21,NTA-NAGOYA-2024-SHINKOKU-21-XLSX,RETURN_SIDE_REGIONAL_ADMINISTRATIVE,EXACT_REGIONAL_FILED_OR_PROCESSED_PERSONS,NO,NO,NO,NO_PURE_SUBMISSION_COUNT,YES_EXACT,YES_POSITIVE_REFUND,NO,NO,YES_TAX_OFFICE,NO,NO_DIRECT_PERSON_BRIDGE,"Regional processing/tax-office detail adds geography, not salary receipts or year-end adjustment."
nagoya_regional_table22,NTA-NAGOYA-2024-SHINKOKU-22-XLSX,RETURN_SIDE_REGIONAL_ADMINISTRATIVE,EXACT_REGIONAL_FILED_OR_PROCESSED_PERSONS,TOTAL_NET_INCOME_CLASS_NOT_SALARY_RECEIPT,NO,NO,NO_PURE_SUBMISSION_COUNT,NO_PROCESSING_CATEGORY_CROSS_TAB,YES_POSITIVE_REFUND,NO,NO,YES_TAX_OFFICE,NO,NO_DIRECT_PERSON_BRIDGE,Regional salary-primary tables use total-net-income classes; they do not add salary-receipt or year-end-adjustment dimensions.
