survey_year,metric_id,value,unit,denominator_n,response_scope,source_id,source_locator,evidence_type,identification_status,model_use,note
2024,former_exempt_b2b_invoice_registration_share,0.733,ratio,348,former exempt BtoB-centered businesses,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.5 / printed p.4,SURVEY_RESPONSE_SHARE,OBSERVED_INVOICE_REGISTRATION_RESPONSE,REGISTRATION_RESPONSE_CONTEXT_ONLY,Share registered as qualified invoice issuers after system introduction.
2024,nonregistered_exempt_b2b_future_registration_consider_share,0.640,ratio,86,nonregistered former-exempt BtoB-centered businesses,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.7 / printed p.6,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_REGISTRATION_INTENTION,INTENTION_NOT_REALIZED_BEHAVIOR,Share considering some future registration path.
2024,nonregistered_exempt_b2b_register_if_customer_requests_share,0.477,ratio,86,nonregistered former-exempt BtoB-centered businesses,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.7 / printed p.6,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_REGISTRATION_INTENTION,CUSTOMER_PRESSURE_CHANNEL_CONTEXT,Share saying they would consider registration if requested by a customer.
2025,former_exempt_b2b_invoice_registration_share,0.786,ratio,285,former exempt BtoB-centered businesses,JCCI-2025-INVOICE-SURVEY,PDF p.5 / printed p.4,SURVEY_RESPONSE_SHARE,OBSERVED_INVOICE_REGISTRATION_RESPONSE,REGISTRATION_RESPONSE_CONTEXT_ONLY,"Share registered as qualified invoice issuers. JCCI explicitly states the 2024 and 2025 respondents are not the same businesses, so the cross-year difference is not a panel transition estimate."
2025,nonregistered_exempt_b2b_future_registration_consider_share,0.508,ratio,61,nonregistered former-exempt BtoB-centered businesses,JCCI-2025-INVOICE-SURVEY,PDF p.7 / printed p.6,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_REGISTRATION_INTENTION,INTENTION_NOT_REALIZED_BEHAVIOR,Share considering some future registration path.
2025,nonregistered_exempt_b2b_register_if_customer_requests_share,0.459,ratio,61,nonregistered former-exempt BtoB-centered businesses,JCCI-2025-INVOICE-SURVEY,PDF p.7 / printed p.6,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_REGISTRATION_INTENTION,CUSTOMER_PRESSURE_CHANNEL_CONTEXT,Share saying they would consider registration if requested by a customer.
2024,post_intro_exempt_supplier_almost_all_continue_share,0.740,ratio,782,taxable/registered respondents that had purchases from exempt businesses before invoice introduction,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_POST_INTRODUCTION_NETWORK_STATUS,NETWORK_ADJUSTMENT_INCIDENCE_NOT_OUTPUT_EFFECT,Mutually exclusive reported post-introduction supplier-relationship status.
2024,post_intro_exempt_supplier_some_only_continue_share,0.079,ratio,782,taxable/registered respondents that had purchases from exempt businesses before invoice introduction,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_POST_INTRODUCTION_NETWORK_STATUS,NETWORK_ADJUSTMENT_INCIDENCE_NOT_OUTPUT_EFFECT,Mutually exclusive reported post-introduction supplier-relationship status.
2024,post_intro_exempt_supplier_very_few_only_continue_share,0.128,ratio,782,taxable/registered respondents that had purchases from exempt businesses before invoice introduction,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_POST_INTRODUCTION_NETWORK_STATUS,NETWORK_ADJUSTMENT_INCIDENCE_NOT_OUTPUT_EFFECT,Mutually exclusive reported post-introduction supplier-relationship status.
2024,post_intro_exempt_supplier_all_transactions_ended_share,0.052,ratio,782,taxable/registered respondents that had purchases from exempt businesses before invoice introduction,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_POST_INTRODUCTION_NETWORK_STATUS,NETWORK_ADJUSTMENT_INCIDENCE_NOT_OUTPUT_EFFECT,Mutually exclusive reported post-introduction supplier-relationship status.
2024,post_intro_exempt_supplier_reported_contraction_category_share,0.259,ratio,782,same as 2024 post-introduction supplier-status question,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9; derived sum,DERIVED_ROUNDED_CATEGORY_SUM,OBSERVED_POST_INTRODUCTION_NETWORK_CONTRACTION_CATEGORY_SUM,INCIDENCE_ONLY_NOT_CAUSAL_OUTPUT_LOSS,"Sum of some-only, very-few-only, and all-ended categories = 25.9%. Categories imply fewer exempt-supplier relationships than nearly-all continuation, but the survey does not quantify transaction value lost or macro output effects; published percentages are rounded."
2024,future_exempt_supplier_continue_share,0.471,ratio,732,respondents still purchasing from exempt businesses,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response; scheduled input-tax-credit transition changes are part of the question context.
2024,future_exempt_supplier_none_share,0.038,ratio,732,respondents still purchasing from exempt businesses,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response; scheduled input-tax-credit transition changes are part of the question context.
2024,future_exempt_supplier_mostly_none_share,0.107,ratio,732,respondents still purchasing from exempt businesses,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response; scheduled input-tax-credit transition changes are part of the question context.
2024,future_exempt_supplier_review_at_2026_credit_reduction_share,0.127,ratio,732,respondents still purchasing from exempt businesses,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response; scheduled input-tax-credit transition changes are part of the question context.
