metric_id,value,unit,source_ids,source_locator,identification_status,note
person_series_first_unambiguous_sample_estimate_year,1991,year,NTA-WITHHOLDING-LONG-TERM,Sheet ５ notes and row 51,PERSON_FIELDS_SAMPLE_SURVEY_ESTIMATES_FROM_1991,Audit scope begins where the official note unambiguously classifies all person fields as sample-survey estimates.
person_series_last_published_year,2006,year,NTA-WITHHOLDING-LONG-TERM;NTA-WITHHOLDING-2006-STATUS,Sheet ５ row 66; 2006 Table (7),LAST_PUBLISHED_PUBLIC_OTHER_PERSON_ESTIMATE,Public Offices and Others person estimates are both published in 2006.
person_series_first_missing_year,2007,year,NTA-WITHHOLDING-LONG-TERM;NTA-WITHHOLDING-2007-STATUS,Sheet ５ row 67; 2007 Table (7),PUBLISHED_PERSON_SERIES_DISCONTINUED,"Payment and withholding amounts continue, but Public Offices/Others person columns disappear."
person_series_missing_years_through_2024,18,years,NTA-WITHHOLDING-LONG-TERM,2007-2024,CURRENT_PERSON_SERIES_GAP,Eighteen consecutive years have no published Public Offices/Others person values in this series.
public_offices_persons_2006,9170,thousand_persons_estimated,NTA-WITHHOLDING-LONG-TERM;NTA-WITHHOLDING-2006-STATUS,Sheet ５ B66; 2006 Table (7),HISTORICAL_SAMPLE_SURVEY_ESTIMATE,Not an administrative exact count; 1991+ person fields are sample-survey estimates.
others_persons_2006,66936,thousand_persons_estimated,NTA-WITHHOLDING-LONG-TERM;NTA-WITHHOLDING-2006-STATUS,Sheet ５ D66; 2006 Table (7),HISTORICAL_SAMPLE_SURVEY_ESTIMATE,Not an administrative exact count.
public_plus_others_persons_2006,76106,thousand_persons_estimated,NTA-WITHHOLDING-LONG-TERM;NTA-WITHHOLDING-2006-STATUS,"9,170 + 66,936",HISTORICAL_SAMPLE_SURVEY_ESTIMATE,Published payroll-side estimate; not asserted to be annual unique persons.
public_offices_person_share_2006,0.120489843114,historical_estimated_person_ratio,NTA-WITHHOLDING-LONG-TERM,B66/(B66+D66),HISTORICAL_RATIO_NOT_CURRENT_PERSON_SHARE,Historical 2006 ratio only; extrapolation to 2024 is not identified.
public_offices_payment_share_2006,0.131362684728,amount_ratio,NTA-WITHHOLDING-LONG-TERM,C66/(C66+E66),HISTORICAL_AMOUNT_SHARE,2006 salary/wages/bonus amount composition.
public_offices_payment_share_2024,0.079918803494,amount_ratio,NTA-WITHHOLDING-LONG-TERM;NTA-FY2024-WITHHOLDING-STATUS,C84/(C84+E84),CURRENT_AMOUNT_SHARE_NOT_PERSON_SHARE,2024 amount share; consistent with current source-system coverage audit.
public_payment_share_change_2006_to_2024_pp,-5.144388123434,percentage_points,NTA-WITHHOLDING-LONG-TERM,2006 versus 2024,STRUCTURAL_COMPOSITION_CHANGE,Large amount-composition change further weakens any 2006 person-share extrapolation.
apply_2006_public_person_share_to_2024,PROHIBITED,status,NTA-WITHHOLDING-LONG-TERM;NTA-FY2024-WITHHOLDING-STATUS,cross-year extrapolation,DO_NOT_EXTRAPOLATE_DISCONTINUED_SAMPLE_PERSON_SERIES,2006 is a sample-survey person estimate separated from 2024 by 18 missing years and changed payment composition.
nta_public_offices_person_count_2024,NOT_IDENTIFIED,status,NTA-WITHHOLDING-LONG-TERM;NTA-FY2024-WITHHOLDING-STATUS,2024,NTA_PUBLIC_OFFICES_PERSON_COUNT_NOT_IDENTIFIED,Historical person estimates do not restore the missing current-year person denominator.
