spec_version,bridge_scheme,epsilon_source,epsilon,feasible,solver_status_code,solver_message,max_scenario_sum_residual,max_class_positive_mass_residual,max_overlap_capacity_excess,max_rank_bridge_gap,max_rank_bridge_inequality_excess,minimum_decision_variable,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.025,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.05,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.075,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.1,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.125,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.175,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.175,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.2,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0.2,1.66533453694e-16,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.225,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0.225,2.77555756156e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.25,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),2.22044604925e-16,0,0,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.275,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0.275,1.11022302463e-16,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.3,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),2.22044604925e-16,0,0,0.3,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,epsilon_star,0.149015979543,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,3.46944695195e-18,0,0.149015979543,2.77555756156e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
