spec_version,weight_scheme,epsilon_source,epsilon,feasible,solver_status_code,solver_message,max_scenario_sum_residual,max_decile_mass_residual,max_category_mass_residual,max_transport_gap,max_transport_inequality_excess,minimum_decision_variable,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced
transport_lp_v1,equal_decile,pre_specified_grid,0,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.025,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.05,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.075,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.1,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.125,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.15,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.175,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.2,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.225,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.275,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.275,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.3,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.3,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,epsilon_star,0.241868950074,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.241868950074,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.025,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
