dimension,status,source_ids,identified_use,limitation
theme1_period,AVAILABLE_2014_2024,NTA-NTC-JOINT-RESEARCH-CALL6;NTA-NTC-JOINT-RESEARCH-THEME1-SAMPLE,Return-side microdata are advertised for 2014-2024.,No payroll-side universe is added.
return_longitudinal_identifier,AVAILABLE_WITHIN_THEME1,NTA-NTC-JOINT-RESEARCH-OVERVIEW;NTA-NTC-JOINT-RESEARCH-THEME1-SAMPLE,Dedicated joint-research identifier plus repeated tax years supports within-return longitudinal analysis.,Not an advertised cross-source payroll identifier.
salary_return_tax_flow,MATERIAL_PARTIAL_IDENTIFICATION_GAIN,NTA-NTC-JOINT-RESEARCH-THEME1-SAMPLE,"Salary receipts/income, source withholding, filing status, assessed balance, payment/refund and deductions coexist on return records.",Does not observe non-filers or private-payroll year-end-adjustment status.
private_payroll_person_link,NOT_IDENTIFIED,NTA-NTC-JOINT-RESEARCH-THEME1-SAMPLE,No Theme-1 field is documented as a Private Salary Survey person key.,"Do not infer payroll-to-return overlap from salary amounts, ranks or demographics."
external_statistical_microdata_linkage,APPLICATION_POSSIBLE_NOT_PREAPPROVED,NTA-NTC-JOINT-RESEARCH-FAQ,Official FAQ permits proposals that match eligible statistical microdata for non-identifying statistical research.,"Actual data, linkage key, approval, processing time and any external-data fee remain application-specific."
applicant_eligibility,FULL_TIME_ELIGIBLE_INSTITUTION_REQUIRED,NTA-NTC-JOINT-RESEARCH-GUIDELINE;NTA-NTC-JOINT-RESEARCH-FAQ,"Academic individual-data applicants must be full-time researchers at an eligible public, independent, university or inter-university institution.",A specific researcher's eligibility must be verified at application time; private-business affiliation alone is insufficient.
sample_field_universe,SCHEMA_GATED,NTA-NTC-JOINT-RESEARCH-FAQ,Research is generally expected to use fields published in the sample schema.,Unadvertised fields must not be assumed available.
secure_access,WAKO_ONLY_APPROVAL_REQUIRED,NTA-NTC-JOINT-RESEARCH-GUIDELINE;NTA-NTC-JOINT-RESEARCH-FAQ,Approved individual-data users work on NTA-provided terminals at NTC Wako and are appointed visiting professors.,Raw microdata and unreviewed intermediate outputs cannot be exported.
secure_access_hours,WEEKDAYS_0930_1700_RESERVATION_REQUIRED,NTA-NTC-JOINT-RESEARCH-FAQ,Wako individual-data access is available on non-holiday weekdays from 09:30 to 17:00 with advance reservation.,Travel and researcher-time costs are not quantified by the reviewed program materials.
maximum_use_period,NORMALLY_UP_TO_3_YEARS,NTA-NTC-JOINT-RESEARCH-GUIDELINE;NTA-NTC-JOINT-RESEARCH-FAQ,"The sixth-call regime normally caps approved use at three years, subject to the guideline's extension rules.",Requested duration must still be the minimum necessary for the approved plan.
output_review,NTA_PREPUBLICATION_REVIEW_REQUIRED,NTA-NTC-JOINT-RESEARCH-GUIDELINE,"Research outputs must be reported to NTA before publication and pass consistency, confidentiality and disclosure checks.",Approval of data use is not approval of any later scientific claim.
external_data_cost,USER_BORNE_IF_APPLICABLE,NTA-NTC-JOINT-RESEARCH-FAQ,"If linked statistical microdata incur fees, those costs are borne by the user.",No project-wide cost estimate is inferred; Theme-1-only institutional/travel costs remain unpriced.
application_cadence,ABOUT_ONCE_PER_YEAR,NTA-NTC-JOINT-RESEARCH-GUIDELINE,The guideline states that NTA solicits applications about once per year and publishes concrete dates in advance.,Cadence does not identify the next exact opening date.
application_window_2026,CLOSED,NTA-NTC-JOINT-RESEARCH-CALL6,Sixth-call applications closed 2026-04-30 12:00; implementation was planned from around August 2026 for up to three years.,A new application requires a future call unless NTA announces another route.
next_application_window,NOT_ANNOUNCED_AS_OF_2026_09_12,NTA-NTC-INDEX-2026-09-12;NTA-NTC-JOINT-RESEARCH-GUIDELINE,The current NTC landing page lists the sixth-call decision but no seventh-call application notice.,Do not project exact future dates from the approximately annual cadence.
issue25_decision,DRAFT_FUTURE_CALL_PROPOSAL,NTA-NTC-JOINT-RESEARCH-CALL6;NTA-NTC-JOINT-RESEARCH-THEME1-SAMPLE;NTA-NTC-JOINT-RESEARCH-FAQ;NTA-NTC-JOINT-RESEARCH-GUIDELINE;NTA-NTC-JOINT-RESEARCH-OVERVIEW,Expected identification gain is material for return-side longitudinal reconciliation.,Full salary-payroll-to-return person linkage remains NOT_IDENTIFIED.
