scenario_a,scenario_b,dominance_status,common_bounded_required_objectives,missing_required_objectives,normative_weights_used,interpretation
current_8_10,full_abolition,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
current_8_10,full_abolition_asset_tax,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
current_8_10,full_abolition_income_tax,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
current_8_10,full_abolition_jgb,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
current_8_10,full_abolition_mixed,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
current_8_10,reduced_5,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
current_8_10,zero_rate_admin_retained,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition,full_abolition_asset_tax,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition,full_abolition_income_tax,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition,full_abolition_jgb,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition,full_abolition_mixed,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition,reduced_5,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition,zero_rate_admin_retained,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_asset_tax,full_abolition_income_tax,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_asset_tax,full_abolition_jgb,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_asset_tax,full_abolition_mixed,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_asset_tax,reduced_5,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_asset_tax,zero_rate_admin_retained,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_income_tax,full_abolition_jgb,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_income_tax,full_abolition_mixed,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_income_tax,reduced_5,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_income_tax,zero_rate_admin_retained,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_jgb,full_abolition_mixed,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
full_abolition_jgb,reduced_5,INDETERMINATE_MISSING_REQUIRED_OBJECTIVES,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,false,No Pareto conclusion: at least one required objective lacks a numerical bound.
