spec_version,base_model,bridge_scheme,delta,average_percentile_rank_displacement_pp,epsilon,feasible,solver_status_code,solver_message,crosscheck_method,crosscheck_feasible,crosscheck_status_code,classification_agrees,max_scenario_sum_residual,max_class_positive_mass_residual,max_overlap_capacity_excess,max_transport_row_margin_residual,max_transport_column_margin_residual,max_positive_transport_capacity_excess,max_nta_rank_positive_margin_residual,transport_cost_at_one_feasible_solution,rank_displacement_budget_excess,max_rank_bridge_gap_at_one_feasible_solution,max_rank_bridge_inequality_excess,minimum_decision_variable,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified,p1c14_v2_modified,p1c15_v3_modified
rank_epsilon_surface_v4,rank_bridge_lp_v3,rank_transport_budget_fixed_epsilon_surface,0,0,0,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),highs-ipm,False,2,True,,,,,,,,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_bridge_lp_v3,rank_transport_budget_fixed_epsilon_surface,0,0,0.025,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),highs-ipm,False,2,True,,,,,,,,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_bridge_lp_v3,rank_transport_budget_fixed_epsilon_surface,0,0,0.05,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),highs-ipm,False,2,True,,,,,,,,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_bridge_lp_v3,rank_transport_budget_fixed_epsilon_surface,0,0,0.075,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),highs-ipm,False,2,True,,,,,,,,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_bridge_lp_v3,rank_transport_budget_fixed_epsilon_surface,0,0,0.1,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),highs-ipm,False,2,True,,,,,,,,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_bridge_lp_v3,rank_transport_budget_fixed_epsilon_surface,0,0,0.125,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),highs-ipm,False,2,True,,,,,,,,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_bridge_lp_v3,rank_transport_budget_fixed_epsilon_surface,0,0,0.15,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),highs-ipm,True,0,True,1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.15,2.77555756156e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_bridge_lp_v3,rank_transport_budget_fixed_epsilon_surface,0,0,0.175,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),highs-ipm,True,0,True,0,0,0,0,0,0,6.93889390391e-18,0,0,0.175,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_bridge_lp_v3,rank_transport_budget_fixed_epsilon_surface,0,0,0.2,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),highs-ipm,True,0,True,1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.2,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_bridge_lp_v3,rank_transport_budget_fixed_epsilon_surface,0,0,0.225,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),highs-ipm,True,0,True,1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.225,2.77555756156e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
