item_id,layer,direction,component_id,direct_optimizer_input,allowed_nonready_use,required_for_headline,formula_or_rule,normative_status,notes
identification_gate,IDENTIFICATION_GATE,none,,false,NONE,true,maturity=READY AND policy_usable=true,SCIENTIFIC_GATE,Only outcomes passing the scientific-state gate may enter a headline optimizer directly.
per_capita_real_growth_viability,VIABILITY_CONSTRAINT,gte,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,"g_pc,t>=epsilon_pc for every required annual t; epsilon_pc>0 must be pre-specified",NORMATIVE_MINIMUM,Population-normalized production viability; aggregate GDP remains a separate macro/fiscal guardrail.
cumulative_per_capita_real_growth,PARETO_OBJECTIVE,maximize,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,"C_pc=sum_t log(1+g_pc,t) over the pre-specified annual horizon (beta_pc=1 headline)",NORMATIVE_OBJECTIVE,"GDP per capita is population-normalized production, not welfare and not removal of policy-induced population effects."
per_capita_growth_decline_penalty,PARETO_OBJECTIVE,minimize,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,"D_pc=sum_t max(g_pc,t-1-g_pc,t;0)^2 over the pre-specified annual horizon (beta_pc=1 headline)",NORMATIVE_OBJECTIVE,Retains the preference against declines in per-capita growth without conflating aggregate population change.
median_real_equivalized_disposable_income_effect,PARETO_OBJECTIVE,maximize,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,Delta_log_M_real_T=log(M_real_T(p))-log(M_real_T(b)); M is the person-weighted median of disposable_income/sqrt(household_size); T and household price deflator pre-specified,NORMATIVE_OBJECTIVE,"Household material-welfare objective. Existing NSFCW Table 7-171 all-household median is diagnostic only, not a substitute for the person-weighted headline estimand; GDP deflator must not be silently substituted for the household purchasing-power deflator."
real_gdp_per_hour_effect,PARETO_OBJECTIVE,maximize,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,Delta_log_q_T=log((Y/H)_T(p))-log((Y/H)_T(b)); T pre-specified,NORMATIVE_OBJECTIVE,"Labour-productivity objective; composition, capital deepening and policy causal bridges remain separate identification questions."
income_gini_effect,PARETO_OBJECTIVE,minimize,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,G_Y,NORMATIVE_OBJECTIVE,Income inequality remains a separate headline objective.
fgt2_effect,PARETO_OBJECTIVE,minimize,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,FGT2_relative using a contemporaneous poverty line at 50% of median equivalized disposable income,NORMATIVE_OBJECTIVE,Headline deep-poverty objective; anchored-real FGT2 is reported separately as sensitivity.
wealth_gini_effect,EXTENDED_OBJECTIVE,minimize,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,false,G_W,EXTENDED_DISTRIBUTION_OBJECTIVE,Preserved as an extended distribution objective; not required for the headline Pareto frontier in this contract revision.
intergenerational_gap_effect,EXTENDED_OBJECTIVE,minimize,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,false,Gap_Age,EXTENDED_DISTRIBUTION_OBJECTIVE,Preserved as an extended distribution objective; not required for the headline Pareto frontier in this contract revision.
inflation_guardrail,CONSTRAINT_FAMILY,within_range,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,pre-specified admissible inflation range,NORMATIVE_GUARDRAIL,Thresholds must be stated before evaluation; inflation is not a welfare objective.
debt_service_guardrail,CONSTRAINT_FAMILY,within_range,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,pre-specified debt-service or fiscal-capacity limits,NORMATIVE_GUARDRAIL,Aggregate fiscal capacity remains distinct from per-capita welfare-side viability.
