artifact_id,legacy_path,capability_id,historical_recovery_status,migration_state,claim_ids,active_claim_dependency,replacement_paths,disposition_reason,recovery_basis
legacy-01,scripts/01_build_household_anchors.py,build_household_anchors,PRESERVED_EXACT,RETIRED_WITH_JUSTIFICATION,,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-02,scripts/02_growth_objective.py,growth_objective,PRESERVED_EXACT,SCIENTIFICALLY_SUPERSEDED,,false,docs/objective_function.adoc,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-03,scripts/03_supply_package_reoptimization.py,supply_package_reoptimization,PRESERVED_EXACT,RETIRED_WITH_JUSTIFICATION,,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-04,scripts/04_integrated_budget.py,integrated_budget,PRESERVED_EXACT,SCIENTIFICALLY_SUPERSEDED,VAT-C02,false,research/vat_policy_integration,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-05,scripts/05_validate_handoff.py,validate_handoff,PRESERVED_EXACT,SCIENTIFICALLY_SUPERSEDED,,false,scripts/reproduce.py;scripts/validate_repo.py,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-06,scripts/06_time_varying_lambda.py,time_varying_lambda,PRESERVED_EXACT,RETIRED_WITH_JUSTIFICATION,,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-07,scripts/07_poverty_objective.py,poverty_objective,PRESERVED_EXACT,SCIENTIFICALLY_SUPERSEDED,,false,docs/objective_function.adoc,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-08,scripts/08_joint_poverty_lambda.py,joint_poverty_lambda,PRESERVED_EXACT,RETIRED_WITH_JUSTIFICATION,,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-09,scripts/09_budget_neutral_redistribution.py,budget_neutral_redistribution,PRESERVED_EXACT,SCIENTIFICALLY_SUPERSEDED,VAT-C02,false,research/vat_policy_integration,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-10,scripts/10_behavioral_admin_redistribution.py,behavioral_admin_redistribution,PRESERVED_EXACT,SCIENTIFICALLY_SUPERSEDED,VAT-C01;VAT-C02,false,research/vat_compliance_productivity,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-11,scripts/11_surcharge_scope_pareto.py,surcharge_scope_pareto,PRESERVED_EXACT,RETIRED_WITH_JUSTIFICATION,,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-12,scripts/12_vat_incidence_empirical_bridge.py,vat_incidence_empirical_bridge,PRESERVED_EXACT,SCIENTIFICALLY_SUPERSEDED,VAT-C02,false,research/vat_policy_integration,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-13,scripts/13_empirical_vat_poverty.py,empirical_vat_poverty,PRESERVED_EXACT,RETIRED_WITH_JUSTIFICATION,VAT-C02,false,,Historical VAT-poverty effects are not carried forward; current objective-rank Gini/FGT2 effects remain NOT_IDENTIFIED.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-14,scripts/14_replacement_instrument_frontier.py,replacement_instrument_frontier,PRESERVED_EXACT,SCIENTIFICALLY_SUPERSEDED,VAT-C02,false,research/vat_policy_integration,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-15,scripts/15_official_instrument_incidence.py,official_instrument_incidence,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-16,scripts/16_instrument_identification_gate.py,instrument_identification_gate,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,,false,data/scientific_state.csv;data/claim_graph.csv,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-17,scripts/17_income_tax_bridge_and_surtax.py,income_tax_bridge_and_surtax,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,P1-C04,false,data/derived/income_tax_household_type_leaf_deciles_2024.csv,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-18,scripts/18_income_tax_pseudofiler_mtr.py,income_tax_pseudofiler_mtr,RECOVERABLE_FILE_LIBRARY,SCIENTIFICALLY_SUPERSEDED,P1-C03,false,research/income_tax_pseudofiler,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-19,scripts/19_income_tax_external_validation.py,income_tax_external_validation,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,P1-C05;P1-C07,false,data/derived/nta_primary_type_stage2_2024.csv;research/income_tax_partial_identification/nta_table31_composition_validation.csv,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-20,scripts/20_nta_salary_class_external_validation.py,nta_salary_class_external_validation,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C03,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-21,scripts/21_nta_salary_deduction_validation.py,nta_salary_deduction_validation,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,P1-C03,false,data/derived/income_tax_2026_statutory_parameters.csv,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-22,scripts/22_nta_salary_family_deduction_validation.py,nta_salary_family_deduction_validation,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,P1-C03,false,data/derived/nta_salary_class_family_deduction_validation_2024.csv,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-23,scripts/23_income_tax_mtr_admissible_set.py,income_tax_mtr_admissible_set,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C06,false,,Historical MTR admissible-set construction is not current authority; replacement transport models are explicitly separate sensitivity models.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-24,scripts/24_nta_self_assessed_income_type_validation.py,nta_self_assessed_income_type_validation,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,P1-C05;P1-C07,false,data/derived/nta_primary_type_stage2_2024.csv,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-25,scripts/25_nta_self_assessed_deduction_validation.py,nta_self_assessed_deduction_validation,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C05,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-26,scripts/26_income_tax_household_cell_fit.py,income_tax_household_cell_fit,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,P1-C03,false,research/income_tax_pseudofiler/pseudofiler_mtr_summary.csv,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-27,scripts/27_income_tax_omitted_income_diagnostic.py,income_tax_omitted_income_diagnostic,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C03,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
